index	Tokenized Problem Sentence	Tokenized Fixed Sentence	Problem Sentence	Fixed Sentence
0.0	schizophrenia is a complex mental health condition that affects many people .	schizophrenia is a complex mental health condition that affects many people .	Schizophrenia is a complex mental health condition that affects many people.	Schizophrenia is a complex mental health condition that affects many people.
1.0	symptoms of schizophrenia can vary from person to person .	symptoms of schizophrenia can vary from person to person .	Symptoms of schizophrenia can vary from person to person.	Symptoms of schizophrenia can vary from person to person.
2.0	hall ##uc ##inations and del ##usions are common symptoms of schizophrenia .	hall ##uc ##inations and del ##usions are common symptoms of schizophrenia .	Hallucinations and delusions are common symptoms of schizophrenia.	Hallucinations and delusions are common symptoms of schizophrenia.
3.0	people with schizophrenia often experience a disco ##nne ##ct from reality .	people with schizophrenia often experience a disco ##nne ##ct from reality .	People with schizophrenia often experience a disconnect from reality.	People with schizophrenia often experience a disconnect from reality.
4.0	many people with schizophrenia struggle with managing their daily lives .	many people with schizophrenia struggle with managing their daily lives .	Many people with schizophrenia struggle with managing their daily lives.	Many people with schizophrenia struggle with managing their daily lives.
5.0	medication and therapy are commonly used to manage symptoms of schizophrenia .	medication and therapy are commonly used to manage symptoms of schizophrenia .	Medication and therapy are commonly used to manage symptoms of schizophrenia.	Medication and therapy are commonly used to manage symptoms of schizophrenia.
6.0	early intervention and treatment can improve outcomes for those with schizophrenia .	early intervention and treatment can improve outcomes for those with schizophrenia .	Early intervention and treatment can improve outcomes for those with schizophrenia.	Early intervention and treatment can improve outcomes for those with schizophrenia.
7.0	family support is crucial for individuals with schizophrenia .	family support is crucial for individuals with schizophrenia .	Family support is crucial for individuals with schizophrenia.	Family support is crucial for individuals with schizophrenia.
8.0	schizophrenia can cause significant stress and anxiety for those affected .	schizophrenia can cause significant stress and anxiety for those affected .	Schizophrenia can cause significant stress and anxiety for those affected.	Schizophrenia can cause significant stress and anxiety for those affected.
9.0	living with schizophrenia can be challenging , but support and care are available .	living with schizophrenia can be challenging , but support and care are available .	Living with schizophrenia can be challenging, but support and care are available.	Living with schizophrenia can be challenging, but support and care are available.
10.0	people with schizophrenia may struggle with social ##ization and relationships .	people with schizophrenia may struggle with social ##ization and relationships .	People with schizophrenia may struggle with socialization and relationships.	People with schizophrenia may struggle with socialization and relationships.
11.0	schizophrenia can affect thinking and behavior patterns .	schizophrenia can affect thinking and behavior patterns .	Schizophrenia can affect thinking and behavior patterns.	Schizophrenia can affect thinking and behavior patterns.
12.0	schizophrenia can be difficult to dia ##gno ##se , especially in its early stages .	schizophrenia can be difficult to dia ##gno ##se , especially in its early stages .	Schizophrenia can be difficult to diagnose, especially in its early stages.	Schizophrenia can be difficult to diagnose, especially in its early stages.
13.0	people with schizophrenia may experience symptoms such as disorder ##ed thinking and speech .	people with schizophrenia may experience symptoms such as disorder ##ed thinking and speech .	People with schizophrenia may experience symptoms such as disordered thinking and speech.	People with schizophrenia may experience symptoms such as disordered thinking and speech.
14.0	schizophrenia can cause emotional distress and even lead to a loss of touch with reality .	schizophrenia can cause emotional distress and even lead to a loss of touch with reality .	Schizophrenia can cause emotional distress and even lead to a loss of touch with reality.	Schizophrenia can cause emotional distress and even lead to a loss of touch with reality.
15.0	schizophrenia often requires long - term management and support .	schizophrenia often requires long - term management and support .	Schizophrenia often requires long-term management and support.	Schizophrenia often requires long-term management and support.
16.0	support from mental health professionals is essential for managing schizophrenia .	support from mental health professionals is essential for managing schizophrenia .	Support from mental health professionals is essential for managing schizophrenia.	Support from mental health professionals is essential for managing schizophrenia.
17.0	anti ##psy ##cho ##tic medication is commonly used to treat symptoms of schizophrenia .	anti ##psy ##cho ##tic medication is commonly used to treat symptoms of schizophrenia .	Antipsychotic medication is commonly used to treat symptoms of schizophrenia.	Antipsychotic medication is commonly used to treat symptoms of schizophrenia.
18.0	people with schizophrenia may benefit from supportive housing and community programs .	people with schizophrenia may benefit from supportive housing and community programs .	People with schizophrenia may benefit from supportive housing and community programs.	People with schizophrenia may benefit from supportive housing and community programs.
19.0	cognitive behavioral therapy can be effective in treating symptoms of schizophrenia .	cognitive behavioral therapy can be effective in treating symptoms of schizophrenia .	Cognitive behavioral therapy can be effective in treating symptoms of schizophrenia.	Cognitive behavioral therapy can be effective in treating symptoms of schizophrenia.
