index	Tokenized Problem Sentence	Tokenized Fixed Sentence	Problem Sentence	Fixed Sentence
2004.0	the disturbed individual ' s mental state was affected by the abuse he had suffered .	the troubled individual ' s mental state was affected by the abuse he had suffered	The disturbed individual's mental state was affected by the abuse he had suffered.	The troubled individual's mental state was affected by the abuse he had suffered
3666.0	the market ' s fluctuations were seen as normal behavior by investors , but it was causing concern for some .	the market ' s fluctuations were seen as usual behavior by investors , but it was causing concern for some	The market's fluctuations were seen as normal behavior by investors, but it was causing concern for some.	The market's fluctuations were seen as usual behavior by investors, but it was causing concern for some
517.0	anxiety can take many forms , including generalized anxiety disorder , panic disorder , and specific ph ##ob ##ias .	anxiety can take many forms , including generalized anxiety disorder , panic disorder , and specific ph ##ob ##ias .	Anxiety can take many forms, including generalized anxiety disorder, panic disorder, and specific phobias.	Anxiety can take many forms, including generalized anxiety disorder, panic disorder, and specific phobias.
3403.0	a nervous breakdown can affect anyone , regardless of age , gender , or socio ##economic status .	a mental health crisis can affect anyone , regardless of age , gender , or socio ##economic status	A nervous breakdown can affect anyone, regardless of age, gender, or socioeconomic status.	A mental health crisis can affect anyone, regardless of age, gender, or socioeconomic status
1210.0	he was disgusted by the bu ##lim ##ic ' s behavior and didn ' t want to be friends with her anymore .	he was disgusted by the person living with an eating disorder ' s behavior and didn ' t want to be friends with her anymore	He was disgusted by the bulimic's behavior and didn't want to be friends with her anymore.	He was disgusted by the person living with an eating disorder's behavior and didn't want to be friends with her anymore
4108.0	the company ' s financial decisions were psychotic and they were headed for bankruptcy .	the company ' s financial decisions were un ##so ##und and they were headed for bankruptcy	The company's financial decisions were psychotic and they were headed for bankruptcy.	The company's financial decisions were unsound and they were headed for bankruptcy
668.0	treatment for intellectual disability may include special education , the ##ra ##pies , and support services to help individuals reach their full potential .	treatment for intellectual disability may include special education , the ##ra ##pies , and support services to help individuals reach their full potential .	Treatment for intellectual disability may include special education, therapies, and support services to help individuals reach their full potential.	Treatment for intellectual disability may include special education, therapies, and support services to help individuals reach their full potential.
1632.0	he is del ##usion ##al if he thinks he can live forever .	he is mis ##in ##formed if he thinks he can live forever	He is delusional if he thinks he can live forever.	He is misinformed if he thinks he can live forever
3703.0	he was nuts about the new video game and would play it for hours on end .	he was fascinated the new video game and would play it for hours on end	He was nuts about the new video game and would play it for hours on end.	He was fascinated the new video game and would play it for hours on end
4766.0	un ##sport ##sman ##like behavior on the field was seen from the un ##hing ##ed athlete .	un ##sport ##sman ##like behavior on the field was seen from the un ##balance ##d athlete	Unsportsmanlike behavior on the field was seen from the unhinged athlete.	Unsportsmanlike behavior on the field was seen from the unbalanced athlete
2460.0	the patient ' s constant obsession with clean ##liness and order earned him the label of being crazy .	the patient ' s constant obsession with clean ##liness and order earned him the label of living with a mental health condition	The patient's constant obsession with cleanliness and order earned him the label of being crazy.	The patient's constant obsession with cleanliness and order earned him the label of living with a mental health condition
1128.0	the party was bon ##kers and there were wild celebrations all night long .	the party was outrageous and there were wild celebrations all night long	The party was bonkers and there were wild celebrations all night long.	The party was outrageous and there were wild celebrations all night long
1116.0	she thought the new technology was bon ##kers .	she thought the new technology was outrageous	She thought the new technology was bonkers.	She thought the new technology was outrageous
3526.0	she ' s always been a bit ne ##uro ##tic , but lately it ' s been affecting her work .	she ' s always been a bit anxious , but lately it ' s been affecting her work	She's always been a bit neurotic, but lately it's been affecting her work.	She's always been a bit anxious, but lately it's been affecting her work
3759.0	the teacher ' s o ##cd for planning helped to create a structured and effective curriculum for his students .	the teacher ' s met ##ic ##ulous for planning helped to create a structured and effective curriculum for his students	The teacher's OCD for planning helped to create a structured and effective curriculum for his students.	The teacher's meticulous for planning helped to create a structured and effective curriculum for his students
1162.0	i can ' t believe how brain dead some people can be when it comes to understanding basic grammar .	i can ' t believe how ob ##tus ##e some people can be when it comes to understanding basic grammar	I can't believe how brain dead some people can be when it comes to understanding basic grammar.	I can't believe how obtuse some people can be when it comes to understanding basic grammar
1954.0	he was disturbed by the constant chatter in his head .	he was distraught by the constant chatter in his head	He was disturbed by the constant chatter in his head.	He was distraught by the constant chatter in his head
879.0	the alcoholic ' s body was weak and frail from years of neglect and abuse .	the person with alcohol use disorder ' s body was weak and frail from years of neglect and abuse	The alcoholic's body was weak and frail from years of neglect and abuse.	The person with alcohol use disorder's body was weak and frail from years of neglect and abuse
