index	Tokenized Problem Sentence	Tokenized Fixed Sentence	Problem Sentence	Fixed Sentence
0	schizophrenia is a complex mental health condition that affects many people .	schizophrenia is a complex mental health condition that affects many people .	Schizophrenia is a complex mental health condition that affects many people.	Schizophrenia is a complex mental health condition that affects many people.
1	symptoms of schizophrenia can vary from person to person .	symptoms of schizophrenia can vary from person to person .	Symptoms of schizophrenia can vary from person to person.	Symptoms of schizophrenia can vary from person to person.
2	hall ##uc ##inations and del ##usions are common symptoms of schizophrenia .	hall ##uc ##inations and del ##usions are common symptoms of schizophrenia .	Hallucinations and delusions are common symptoms of schizophrenia.	Hallucinations and delusions are common symptoms of schizophrenia.
3	people with schizophrenia often experience a disco ##nne ##ct from reality .	people with schizophrenia often experience a disco ##nne ##ct from reality .	People with schizophrenia often experience a disconnect from reality.	People with schizophrenia often experience a disconnect from reality.
4	many people with schizophrenia struggle with managing their daily lives .	many people with schizophrenia struggle with managing their daily lives .	Many people with schizophrenia struggle with managing their daily lives.	Many people with schizophrenia struggle with managing their daily lives.
5	medication and therapy are commonly used to manage symptoms of schizophrenia .	medication and therapy are commonly used to manage symptoms of schizophrenia .	Medication and therapy are commonly used to manage symptoms of schizophrenia.	Medication and therapy are commonly used to manage symptoms of schizophrenia.
6	early intervention and treatment can improve outcomes for those with schizophrenia .	early intervention and treatment can improve outcomes for those with schizophrenia .	Early intervention and treatment can improve outcomes for those with schizophrenia.	Early intervention and treatment can improve outcomes for those with schizophrenia.
7	family support is crucial for individuals with schizophrenia .	family support is crucial for individuals with schizophrenia .	Family support is crucial for individuals with schizophrenia.	Family support is crucial for individuals with schizophrenia.
8	schizophrenia can cause significant stress and anxiety for those affected .	schizophrenia can cause significant stress and anxiety for those affected .	Schizophrenia can cause significant stress and anxiety for those affected.	Schizophrenia can cause significant stress and anxiety for those affected.
9	living with schizophrenia can be challenging , but support and care are available .	living with schizophrenia can be challenging , but support and care are available .	Living with schizophrenia can be challenging, but support and care are available.	Living with schizophrenia can be challenging, but support and care are available.
10	people with schizophrenia may struggle with social ##ization and relationships .	people with schizophrenia may struggle with social ##ization and relationships .	People with schizophrenia may struggle with socialization and relationships.	People with schizophrenia may struggle with socialization and relationships.
11	schizophrenia can affect thinking and behavior patterns .	schizophrenia can affect thinking and behavior patterns .	Schizophrenia can affect thinking and behavior patterns.	Schizophrenia can affect thinking and behavior patterns.
12	schizophrenia can be difficult to dia ##gno ##se , especially in its early stages .	schizophrenia can be difficult to dia ##gno ##se , especially in its early stages .	Schizophrenia can be difficult to diagnose, especially in its early stages.	Schizophrenia can be difficult to diagnose, especially in its early stages.
